CellID,cell_x,cell_y,death_time,Mode
29,950.1164367581848,688.8293104859999,500,apoptosis
39,960.1001471269224,642.3913794,510,apoptosis
40,945.1245816,617.8824714,600,apoptosis
46,1174.7499200547786,748.1666668199999,420,apoptosis
59,1000.0349886018724,660.4505748,450,apoptosis
60,1020.0024093393472,656.5807472609999,570,apoptosis
65,1071.5849129111575,731.3974139,110,apoptosis
71,1088.2244301923868,703.0186783,960,apoptosis
72,1094.8802371048785,675.9298852,780,apoptosis
73,1153.1185475891805,688.8293104859999,850,apoptosis
80,983.3954713206432,612.7227013,480,apoptosis
81,1018.3384576112244,628.2020116,250,apoptosis
84,1036.6419266205764,611.4327587,540,apoptosis
84,1020.0024093393472,611.4327587,540,apoptosis
98,820.3282019645974,572.7344829,380,apoptosis
105,898.5339331863745,559.8350576,500,apoptosis
108,951.7803884863076,541.7758622,460,apoptosis
121,910.1815952832349,530.1663794,390,apoptosis
122,1133.1511268517056,540.4859197,360,apoptosis
127,1069.9209611830347,580.4741381,350,apoptosis
131,1141.470885,614.0126438039999,1090,apoptosis
133,1088.2244301923868,633.3617817,590,apoptosis
134,1168.094113142287,635.9416667969999,440,apoptosis
136,1203.037099432868,666.9002875,810,apoptosis
137,1236.3161339953265,675.9298852,930,apoptosis
140,1218.0126649859744,625.6221266,940,apoptosis
141,1216.3487132578514,608.8528736879999,760,apoptosis
142,1194.7173407922537,603.6931035719999,570,apoptosis
143,1174.7499200547786,595.9534484,990,apoptosis
144,1194.7173407922537,585.6339082,730,apoptosis
152,1133.1511268517056,450.1899426,410,apoptosis
153,1153.1185475891805,436.0005748,350,apoptosis
154,1171.4220165985323,445.0301725,580,apoptosis
157,1146.462740676689,475.9887932,670,apoptosis
158,1159.7743545016722,492.7580461,590,apoptosis
159,1159.7743545016722,506.9474139,710,apoptosis
165,1232.9882305390806,470.8290231,660,apoptosis
166,1237.9800857234493,487.598276,630,apoptosis
167,1236.3161339953265,503.0775863,650,apoptosis
169,1234.6521822672037,540.4859197,900,apoptosis
171,1246.2998443640638,599.823276,1040,apoptosis
172,1242.9719409078182,621.752299,920,apoptosis
177,1296.2183962077513,574.0244254,540,apoptosis
179,1307.8660583046117,539.1959771219999,810,apoptosis
181,1279.5788789265223,536.6160921,1250,apoptosis
184,1281.242830654645,513.3971265,1270,apoptosis
192,1144.798788948566,465.669253,4470,apoptosis
